 #faults          #DT(#DS/#DI)          #PT(#AP/#NP)  #UD(#UU/#UO/#UT/#UB/#UR)     #AU          #ND(#NC/#NO)  testcov  instance name (type)
 ------- --------------------- --------------------- ------------------------- ------- ---------------------  -------  -----------------------
   29424        25994(25994/0)            305(0/305)     726(116/0/497/72/41)       0        2399(607/1792)   91.11%  /  (top_module)
     122              93(93/0)                2(0/2)            13(0/0/4/0/9)       0               14(9/5)   86.24%     /clock_module_0  (omsp_clock_module)
      20              18(18/0)                1(0/1)             1(0/0/1/0/0)       0                0(0/0)   94.74%        /clock_module_0/sync_reset_por  (omsp_sync_reset)
       8                7(7/0)                0(0/0)             1(0/0/1/0/0)       0                0(0/0)  100.00%           /clock_module_0/sync_reset_por/data_sync_reg_0_  (HS65_GS_DFPSQX9)
       8                7(7/0)                1(0/1)             0(0/0/0/0/0)       0                0(0/0)   87.50%           /clock_module_0/sync_reset_por/data_sync_reg_1_  (HS65_GS_DFPSQX9)
       4                4(4/0)                0(0/0)             0(0/0/0/0/0)       0                0(0/0)  100.00%           /clock_module_0/sync_reset_por/U3  (HS65_GS_IVX9)
      14                7(7/0)                0(0/0)             6(0/0/0/0/6)       0                1(0/1)   87.50%        /clock_module_0/scan_mux_por  (omsp_scan_mux_0)
      10                5(5/0)                0(0/0)             4(0/0/0/0/4)       0                1(0/1)   83.33%           /clock_module_0/scan_mux_por/U1  (HS65_GS_AO22X9)
       4                2(2/0)                0(0/0)             2(0/0/0/0/2)       0                0(0/0)  100.00%           /clock_module_0/scan_mux_por/U2  (HS65_GS_IVX9)
      14                7(7/0)                0(0/0)             3(0/0/0/0/3)       0                4(2/2)   63.64%        /clock_module_0/scan_mux_puc_rst_a  (omsp_scan_mux_2)
      10                5(5/0)                0(0/0)             1(0/0/0/0/1)       0                4(2/2)   55.56%           /clock_module_0/scan_mux_puc_rst_a/U1  (HS65_GS_AO22X9)
       4                2(2/0)                0(0/0)             2(0/0/0/0/2)       0                0(0/0)  100.00%           /clock_module_0/scan_mux_puc_rst_a/U2  (HS65_GS_IVX9)
      20              18(18/0)                1(0/1)             1(0/0/1/0/0)       0                0(0/0)   94.74%        /clock_module_0/sync_cell_puc  (omsp_sync_cell)
       8                7(7/0)                0(0/0)             1(0/0/1/0/0)       0                0(0/0)  100.00%           /clock_module_0/sync_cell_puc/data_sync_reg_0_  (HS65_GS_DFPRQX9)
